Time,Group,PFO,CFU
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,IQ147,PFO-,3300
Day 6,IQ147,PFO-,6600
Day 6,IQ147,PFO-,1
Day 6,IQ147,PFO-,1
Day 6,IQ147,PFO-,6600
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1000
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,LH115,PFO+,1000
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,IQ147,PFO-,28200
Day 7,IQ147,PFO-,1
Day 7,IQ147,PFO-,1
Day 7,IQ147,PFO-,1000
Day 7,IQ147,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
