Group,SNP
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,2
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,1
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,1
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
