Lineage,SNP
BL,675
BL,1262
BL,745
BL,692
BL,779
BL,793
BL,738
BL,585
BL,747
BL,826
BL,1628
BL,628
BL,663
BL,1291
BL,697
BL,1297
BL,709
BL,700
BL,1290
BL,715
BL,1231
BL,705
BL,819
BL,682
BL,749
BL,699
BL,729
BL,777
BL,771
BL,1241
BL,909
BL,809
BL,770
BL,720
BL,615
BL,709
BL,696
BL,835
BL,812
BL,736
BL,691
BL,816
BL,795
BL,1262
BL,1233
BL,660
BL,812
BL,727
BL,741
BL,711
BL,733
BL,761
BL,674
BL,794
BL,731
BL,708
BL,1254
BL,1064
BL,717
BL,732
BL,1308
BL,603
BL,624
BL,741
BL,1938
BL,706
BL,721
BL,759
BL,1249
BL,1643
BL,725
BL,715
BL,711
BL,720
BL,1238
BL,1259
BL,737
BL,732
BL,742
BL,1224
BL,806
BL,778
BL,754
BL,753
BL,760
BL,741
BL,731
BL,734
BL,772
BL,1587
BL,779
BL,696
BL,786
BL,723
BL,742
BL,736
BL,737
BL,770
BL,742
BL,1898
BL,722
BL,1243
BL,1627
BL,1248
BL,1613
BL,1239
BL,740
BL,667
BL,809
BL,744
BL,1244
BL,1943
BL,703
BL,1238
BL,762
BL,726
BL,735
BL,792
BL,742
BL,755
BL,1575
BL,745
BL,1555
BL,1237
BL,737
BL,727
BL,640
BL,713
BL,706
BL,678
BL,725
BL,1250
BL,703
BL,745
BL,708
BL,689
BL,687
BL,766
BL,716
BL,740
BL,726
BL,754
BL,758
BL,796
BL,710
BL,702
BL,699
BL,1249
BL,667
BL,654
BL,604
BL,769
BL,707
BL,738
BL,762
BL,645
BL,679
BL,1915
BL,773
BL,1264
BL,1265
BL,1258
BL,1244
BL,692
BL,756
BL,1264
BL,1253
BL,756
BL,725
BL,644
BL,668
BL,768
BL,1913
BL,1934
BL,1252
BL,809
BL,741
BL,798
BL,685
BL,728
BL,1938
BL,1263
BL,714
BL,762
BL,673
BL,1270
BL,745
BL,1256
BL,803
BL,1228
BL,708
BL,1860
BL,718
BL,783
BL,783
BL,696
BL,734
BL,1334
BL,1331
BL,754
BL,850
BL,842
BL,799
BL,692
BL,1287
BL,886
BL,769
BL,812
BL,788
BL,845
BL,783
BL,805
BL,884
BL,1642
BL,866
BL,874
BL,1366
BL,854
BL,1369
BL,803
BL,773
BL,1365
BL,872
BL,1323
BL,717
BL,827
BL,932
BL,783
BL,780
BL,725
BL,852
BL,838
BL,808
BL,644
BL,1239
BL,1000
BL,881
BL,801
BL,769
BL,911
BL,794
BL,909
BL,853
BL,756
BL,809
BL,906
BL,716
BL,927
BL,1339
BL,1284
BL,762
BL,723
BL,909
BL,855
BL,853
BL,871
BL,723
BL,727
BL,789
BL,700
BL,846
BL,768
BL,892
BL,821
BL,804
BL,787
BL,1310
BL,1156
BL,728
BL,1327
BL,789
BL,810
BL,2003
BL,864
BL,1265
BL,789
BL,1701
BL,818
BL,851
BL,732
BL,805
BL,1274
BL,733
BL,1298
BL,752
BL,777
BL,807
BL,847
BL,1306
BL,872
BL,896
BL,821
BL,852
BL,834
BL,857
BL,824
BL,711
BL,746
BL,800
BL,886
BL,1613
BL,707
BL,811
BL,754
BL,811
BL,842
BL,784
BL,761
BL,672
BL,845
BL,777
BL,735
BL,1957
BL,718
BL,879
BL,864
BL,800
BL,798
BL,1301
BL,820
BL,1640
BL,803
BL,809
BL,1302
BL,826
BL,1621
BL,1291
BL,858
BL,883
BL,764
BL,770
BL,1292
BL,1992
BL,1287
BL,759
BL,701
BL,870
BL,764
BL,748
BL,822
BL,792
BL,881
BL,885
BL,1615
BL,1578
BL,798
BL,1281
BL,722
BL,842
BL,853
BL,723
BL,817
BL,759
BL,808
BL,737
BL,1288
BL,850
BL,867
BL,796
BL,823
BL,754
BL,693
BL,898
BL,646
BL,781
BL,751
BL,676
BL,739
BL,911
BL,869
BL,804
BL,809
BL,790
BL,847
BL,872
BL,1324
BL,768
BL,778
BL,813
BL,834
BL,734
BL,707
BL,860
BL,741
BL,777
BL,1997
BL,807
BL,1287
BL,1307
BL,1283
BL,1298
BL,1295
BL,774
BL,663
BL,1288
BL,751
BL,834
BL,881
BL,1960
BL,742
BL,1991
BL,743
BL,1308
BL,748
BL,761
BL,886
BL,884
BL,802
BL,847
BL,1962
BL,1340
BL,864
BL,857
BL,721
BL,811
BL,794
BL,880
BL,1308
BL,783
BL,737
BL,771
BL,1295
BL,894
BL,1275
BL,772
BL,780
BL,849
BL,1958
BL,718
BL,788
BL,1378
BL,1353
BL,1365
BL,1294
BL,1334
BL,1366
BL,1835
BL,1322
BL,1370
BL,1375
BL,1351
BL,1457
BL,1317
BL,1325
BL,1372
BL,1399
BL,1347
BL,1274
BL,1322
BL,1489
BL,1366
BL,1331
BL,1386
BL,1373
BL,1374
BL,1370
BL,2088
BL,1344
BL,1425
BL,1351
BL,1833
BL,1354
BL,1384
BL,1876
BL,1293
BL,1373
BL,1335
BL,1832
BL,1304
BL,1819
BL,1338
BL,1273
BL,1350
BL,1279
BL,1381
BL,1337
BL,1315
BL,1291
BL,1272
BL,1269
BL,1364
BL,1346
BL,1511
BL,1313
BL,1369
BL,1329
BL,1270
BL,1342
BL,1324
BL,1359
BL,1304
BL,1373
BL,1333
BL,1424
BL,1350
BL,1383
BL,1356
BL,1299
BL,1358
BL,1841
BL,1324
BL,1357
BL,1349
BL,1331
BL,1320
BL,1358
BL,1371
BL,1392
BL,1339
BL,1428
BL,1374
BL,1330
BL,1355
BL,1399
BL,1348
BL,1380
BL,1308
BL,1379
BL,1331
BL,1317
BL,1363
BL,1314
BL,1322
BL,1362
BL,1301
BL,1372
BL,1380
BL,2414
BL,1348
BL,1344
BL,1397
BL,1363
BL,2161
BL,1357
BL,1344
BL,1371
BL,1327
BL,1405
BL,1814
BL,1358
BL,1354
BL,1324
BL,1337
BL,1374
BL,1248
BL,1795
BL,1288
BL,1375
BL,1367
BL,1427
BL,1254
BL,1351
BL,1368
BL,1305
BL,1359
BL,1405
BL,1307
BL,1318
BL,2090
BL,1253
BL,1337
BL,1377
BL,1362
BL,1366
BL,1245
BL,1380
BL,1369
BL,1381
BL,1366
BL,1368
BL,1270
BL,1304
BL,1320
BL,1339
BL,1342
BL,2390
BL,1312
BL,1364
BL,1398
BL,1382
BL,1357
BL,1424
BL,2117
BL,1380
BL,1384
BL,1372
BL,2126
BL,1324
BL,1362
BL,1313
BL,1434
BL,1345
BL,2410
BL,1357
BL,1396
BL,1331
BL,1403
BL,1358
BL,1423
BL,1370
BL,1388
BL,1391
BL,1352
BL,1305
BL,2103
BL,1313
BL,2056
BL,1356
BL,1338
BL,1317
BL,1438
BL,1331
BL,1352
BL,1342
BL,1366
BL,1335
BL,1359
BL,1359
BL,1362
BL,1326
BL,1334
BL,1251
BL,1346
BL,1368
BL,1330
BL,1364
BL,1345
BL,1428
BL,1328
BL,1331
BL,1347
BL,1375
BL,1388
BL,1295
BL,1346
BL,1347
BL,1348
BL,1301
BL,1413
BL,1387
BL,1432
BL,1352
BL,1834
BL,1302
BL,1348
BL,1338
BL,1290
BL,1343
BL,1267
BL,1371
BL,1244
BL,1357
BL,1293
BL,1320
BL,1290
BL,1344
BL,1356
BL,1332
BL,2420
BL,1263
BL,1361
BL,1355
BL,1306
BL,1328
BL,1329
BL,1396
BL,1318
BL,1344
BL,1387
BL,1337
BL,2385
BL,1334
BL,2414
BL,1340
BL,1384
BL,1431
BL,1387
BL,1367
BL,1364
BL,1363
BL,2404
BL,1842
BL,1346
BL,1387
BL,1326
BL,1384
BL,1385
BL,1447
BL,1308
BL,1378
BL,1346
BL,1421
BL,1397
BL,1350
BL,1400
