Group,Lineage,Time,Value
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,1.538461538
pfoA-,Lineage 5,96,0.002153846
pfoA-,Lineage 5,144,0.000538462
pfoA-,Lineage 5,192,0.000407692
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.451612903
pfoA-,Lineage 5,96,0.004612903
pfoA-,Lineage 5,144,0.00083871
pfoA-,Lineage 5,192,0.0000001
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,26
pfoA-,Lineage 5,96,0.46
pfoA-,Lineage 5,144,0.031
pfoA-,Lineage 5,192,0.032
pfoA-,Lineage 5,240,0.025
pfoA-,Lineage 5,288,0.0246
pfoA-,Lineage 5,336,0.025
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.946153846
pfoA-,Lineage 5,96,0.923076923
pfoA-,Lineage 5,144,0.043076923
pfoA-,Lineage 5,192,0.038461538
pfoA-,Lineage 5,240,0.016384615
pfoA-,Lineage 5,288,0.006153846
pfoA-,Lineage 5,336,0.002
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,3.6
pfoA-,Lineage 5,96,0.06
pfoA-,Lineage 5,144,0.0093
pfoA-,Lineage 5,192,0.0004
pfoA-,Lineage 5,240,0.00026
pfoA-,Lineage 5,288,0.00033
pfoA-,Lineage 5,336,0.0003
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.210526316
pfoA-,Lineage 5,96,0.002280702
pfoA-,Lineage 5,144,0.00022807
pfoA-,Lineage 5,192,0.00022807
pfoA-,Lineage 5,240,0.000175439
pfoA-,Lineage 5,288,0.000175439
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,2.461538462
pfoA-,Lineage 5,96,0.123076923
pfoA-,Lineage 5,144,0.004076923
pfoA-,Lineage 5,192,0.003846154
pfoA-,Lineage 5,240,0.000769231
pfoA-,Lineage 5,288,0.001538462
pfoA-,Lineage 5,336,0.001
pfoA+,Lineage 1,0,100
pfoA+,Lineage 1,48,4
pfoA+,Lineage 1,96,0.195
pfoA+,Lineage 1,144,0.0018
pfoA+,Lineage 1,192,0.0021
pfoA+,Lineage 1,240,0.00065
pfoA+,Lineage 1,288,0.00055
pfoA+,Lineage 1,336,0.00018
pfoA+,Lineage 1,0,100
pfoA+,Lineage 1,48,8
pfoA+,Lineage 1,96,2
pfoA+,Lineage 1,144,0.063
pfoA+,Lineage 1,192,0.00083
pfoA+,Lineage 1,240,0.00036
pfoA+,Lineage 1,288,0.0002
pfoA+,Lineage 1,336,0.00016
pfoA+,Lineage 8,0,100
pfoA+,Lineage 8,48,3.913043478
pfoA+,Lineage 8,96,0.5
pfoA+,Lineage 8,144,0.083913043
pfoA+,Lineage 8,192,0.067391304
pfoA+,Lineage 8,240,0.053478261
pfoA+,Lineage 8,288,0.047826087
pfoA+,Lineage 8,336,0.034782609
