Strain,Group,Lineage,Lineage,Day,CFU,Percentage
IQ037,pfoA-,Lineage 6,6,8,100000,0.038461538
IQ037,pfoA-,Lineage 6,6,10,83000,0.031923077
IQ037,pfoA-,Lineage 6,6,12,40000,0.015384615
IQ037,pfoA-,Lineage 6,6,14,3200,0.001230769
LH111,pfoA-,Lineage 5,5,0,27600000,100
LH111,pfoA-,Lineage 5,5,2,53000,0.192028986
LH111,pfoA-,Lineage 5,5,4,4700,0.017028986
LH111,pfoA-,Lineage 5,5,6,1000,0.003623188
LH111,pfoA-,Lineage 5,5,8,130,0.000471014
LH111,pfoA-,Lineage 5,5,10,0,0
LH111,pfoA-,Lineage 5,5,12,0,0
LH111,pfoA-,Lineage 5,5,14,0,0
IQ056,pfoA-,Lineage 5,5,0,130000000,100
IQ056,pfoA-,Lineage 5,5,2,2000000,1.538461538
IQ056,pfoA-,Lineage 5,5,4,2800,0.002153846
IQ056,pfoA-,Lineage 5,5,6,700,0.000538462
IQ056,pfoA-,Lineage 5,5,8,530,0.000407692
IQ056,pfoA-,Lineage 5,5,10,0,0
IQ056,pfoA-,Lineage 5,5,12,0,0
IQ056,pfoA-,Lineage 5,5,14,0,0
IQ041,pfoA-,Lineage 5,5,0,31000000,100
IQ041,pfoA-,Lineage 5,5,2,140000,0.451612903
IQ041,pfoA-,Lineage 5,5,4,1430,0.004612903
IQ041,pfoA-,Lineage 5,5,6,260,0.00083871
IQ041,pfoA-,Lineage 5,5,8,0,0
IQ041,pfoA-,Lineage 5,5,10,0,0
IQ041,pfoA-,Lineage 5,5,12,0,0
IQ041,pfoA-,Lineage 5,5,14,0,0
IQ190,pfoA-,Lineage 5,5,0,10000000,100
IQ190,pfoA-,Lineage 5,5,2,2600000,26
IQ190,pfoA-,Lineage 5,5,4,46000,0.46
IQ190,pfoA-,Lineage 5,5,6,3100,0.031
IQ190,pfoA-,Lineage 5,5,8,3200,0.032
IQ190,pfoA-,Lineage 5,5,10,2500,0.025
IQ190,pfoA-,Lineage 5,5,12,2460,0.0246
IQ190,pfoA-,Lineage 5,5,14,2500,0.025
IQ175,pfoA-,Lineage 5,5,0,13000000,100
IQ175,pfoA-,Lineage 5,5,2,123000,0.946153846
IQ175,pfoA-,Lineage 5,5,4,120000,0.923076923
IQ175,pfoA-,Lineage 5,5,6,5600,0.043076923
IQ175,pfoA-,Lineage 5,5,8,5000,0.038461538
IQ175,pfoA-,Lineage 5,5,10,2130,0.016384615
IQ175,pfoA-,Lineage 5,5,12,800,0.006153846
IQ175,pfoA-,Lineage 5,5,14,260,0.002
IQ109,pfoA-,Lineage 5,5,0,100000000,100
IQ109,pfoA-,Lineage 5,5,2,3600000,3.6
IQ109,pfoA-,Lineage 5,5,4,60000,0.06
IQ109,pfoA-,Lineage 5,5,6,9300,0.0093
IQ109,pfoA-,Lineage 5,5,8,400,0.0004
IQ109,pfoA-,Lineage 5,5,10,260,0.00026
IQ109,pfoA-,Lineage 5,5,12,330,0.00033
IQ109,pfoA-,Lineage 5,5,14,300,0.0003
IQ205,pfoA-,Lineage 5,5,0,57000000,100
IQ205,pfoA-,Lineage 5,5,2,120000,0.210526316
IQ205,pfoA-,Lineage 5,5,4,1300,0.002280702
IQ205,pfoA-,Lineage 5,5,6,130,0.00022807
IQ205,pfoA-,Lineage 5,5,8,130,0.00022807
IQ205,pfoA-,Lineage 5,5,10,100,0.000175439
IQ205,pfoA-,Lineage 5,5,12,100,0.000175439
IQ205,pfoA-,Lineage 5,5,14,0,0
IQ058,pfoA-,Lineage 5,5,0,13000000,100
IQ058,pfoA-,Lineage 5,5,2,320000,2.461538462
IQ058,pfoA-,Lineage 5,5,4,16000,0.123076923
IQ058,pfoA-,Lineage 5,5,6,530,0.004076923
IQ058,pfoA-,Lineage 5,5,8,500,0.003846154
IQ058,pfoA-,Lineage 5,5,10,100,0.000769231
IQ058,pfoA-,Lineage 5,5,12,200,0.001538462
IQ058,pfoA-,Lineage 5,5,14,130,0.001
IQ106,pfoA+,Lineage 1,1,0,200000000,100
IQ106,pfoA+,Lineage 1,1,2,8000000,4
IQ106,pfoA+,Lineage 1,1,4,390000,0.195
IQ106,pfoA+,Lineage 1,1,6,3600,0.0018
IQ106,pfoA+,Lineage 1,1,8,4200,0.0021
IQ106,pfoA+,Lineage 1,1,10,1300,0.00065
IQ106,pfoA+,Lineage 1,1,12,1100,0.00055
IQ106,pfoA+,Lineage 1,1,14,360,0.00018
IQ005,pfoA+,Lineage 1,1,0,100000000,100
IQ005,pfoA+,Lineage 1,1,2,8000000,8
IQ005,pfoA+,Lineage 1,1,4,2000000,2
IQ005,pfoA+,Lineage 1,1,6,63000,0.063
IQ005,pfoA+,Lineage 1,1,8,830,0.00083
IQ005,pfoA+,Lineage 1,1,10,360,0.00036
IQ005,pfoA+,Lineage 1,1,12,200,0.0002
IQ005,pfoA+,Lineage 1,1,14,160,0.00016
IQ014,pfoA+,Lineage 8,8,0,4600000,100
IQ014,pfoA+,Lineage 8,8,2,180000,3.913043478
IQ014,pfoA+,Lineage 8,8,4,23000,0.5
IQ014,pfoA+,Lineage 8,8,6,3860,0.083913043
IQ014,pfoA+,Lineage 8,8,8,3100,0.067391304
IQ014,pfoA+,Lineage 8,8,10,2460,0.053478261
IQ014,pfoA+,Lineage 8,8,12,2200,0.047826087
IQ014,pfoA+,Lineage 8,8,14,1600,0.034782609
ATCC13124,pfoA+,Lineage 7,7,0,230000000,100
ATCC13124,pfoA+,Lineage 7,7,2,4000000,1.739130435
ATCC13124,pfoA+,Lineage 7,7,4,2300000,1
ATCC13124,pfoA+,Lineage 7,7,6,180000,0.07826087
ATCC13124,pfoA+,Lineage 7,7,8,63000,0.027391304
ATCC13124,pfoA+,Lineage 7,7,10,20000,0.008695652
ATCC13124,pfoA+,Lineage 7,7,12,20000,0.008695652
ATCC13124,pfoA+,Lineage 7,7,14,4000,0.00173913
