Lineage,Toxin,Perc
All,plc,100
All,pfoA,51
All,ccp,99
All,colA,99
All,cpe,9
All,cpb2,28
Infant,plc,100
Infant,pfoA,19
Infant,ccp,100
Infant,colA,100
Infant,cpe,3
Infant,cpb2,17
